city,name,zoon_id,rating,reviews_count,price_category,tags,address,metro_station,work_hours_short,phone,lat,lon,photo_count,url,photos_urls
spb,Al petra,530ff69940c088fc298b459a,2.4,21,1/4,"бар, кофейня, пекарня, суши-бар","Волковский проспект, 32, 1 этаж, Санкт-Петербург",Волковская,Открыто до 22:00,+7 (812) 676-11-60,59.896095,30.357261,37,https://zoon.ru/spb/restaurants/restoran_bystrogo_pitaniya_al_petra_v_tts_radius/,"https://pr5.zoon.ru/oUHqA7R3_l_H2qIMC-g0vA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EPfTKduSHikoR1B7NolDU5DAWgSXuhVjZFMzKXLotxMYrFM9dRoMy5MjGj4bGxq_exc8KBySwCeTEL0EhAPwXziZB6MDiSxHr_iYw5haX61g, https://pr6.zoon.ru/96dDI34Q4jidVB4isge2aA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EMb7cyd43gYm0EkNDpBWPVG1CHa4C9NhbyjwV71PsJ7wOYp7SSwUDpOlyy-JZUBdzCb5oeiOTn1hYRVUUBGKQ36po1Q0Q9C_Q5xoC3TI80Hw, https://pr5.zoon.ru/GyEwyClpZJrmMSN1ytT6tA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H8XmFEee1N79k6OB3yzg_UoQ8cTGM3glHS-rWmxy5STrVKBrGBFxcX8-vbieJjRBYyZSeGCQwKDs7yXbY93bKxmTKRoFdGvvmHb7e-Y3mujA, https://pr5.zoon.ru/vZCeBw_EGn5Ll6u_0pNkyw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_ETdKBsqub7mVC-dXgZmx12sxvNQozvtmfW-pV6iCqdbTO6drE4rrI1ez3d5aVBiFFZuv3Gstc5SUQxneDrJtJz8B-7bcWvHxT1s9Koo5-skA, https://pr5.zoon.ru/U51aE4-5nsiWGDInDZQ3YQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GEcjvEFQJCZiMaWRQBEn-Vv6Qb4k2y_w6OGsnMpJC2kFpa90DJaq7FROTYkUmfYpbcBfVeacBrtG1dcgEByMRcS3dAh3e8P7wWP_Mk0V7dQA"
spb,Good Times,5aa0b554a24fd9157812bbaf,2.1,9,,"барбершоп, кофейня, парикмахерская","Аптекарский проспект, 4, 1 этаж, Санкт-Петербург",Петроградская,Открыто до 22:00,+7 (812) 907-28-34,59.969439,30.318303,43,https://zoon.ru/spb/beauty/muzhskaya_parikmaherskaya_good_times_na_aptekarskom_prospekte/,"https://p1.zoon.ru/preview/506ofgbQe_oQfHKDf5k0IA/252x168x85/1/a/5/5aa0b554a24fd9157812bbb0_5d301f5a7945d.jpg, https://p1.zoon.ru/preview/S30LG9S_lE0Po2yhuEUNrg/252x168x85/1/9/2/5aa0b554a24fd9157812bbb0_5d301f59c3c14.jpg, https://p0.zoon.ru/preview/jkmQNN7l0SX9h5JYD6qCVA/252x168x85/1/6/1/5aa0b554a24fd9157812bbb0_5d301f5c997f2.jpg, https://p0.zoon.ru/preview/egq0ls3zIigFmhHDTdj7kg/252x168x85/1/6/1/5aa0b554a24fd9157812bbb0_5d30222d19caa.jpg, https://p2.zoon.ru/preview/akZLSRTcvE2fb-wrY9bNxw/252x168x85/1/e/2/5aa0b554a24fd9157812bbb0_5d30222b70ce6.jpg"
spb,Сэйнт-Эспрессо,5822907105a88382728b4570,3.0,2,1/4,"кафе-мороженое, кондитерская, кофейня","улица Куйбышева, 10, 1 этаж, Санкт-Петербург",Горьковская,Открыто до 21:00,+7 (931) 985-71-70,59.955013,30.326832,50,https://zoon.ru/spb/restaurants/kofejnya_sejnt-espresso_na_ulitse_kujbysheva/,"https://pr6.zoon.ru/X2TqLCDeT3Un55-HTrY28A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HNSx5nwjrhETMEo7CHBkzfP3fJq1cMz0lck0F7K2gqebDZBIClBOG3vLk6n9xchE-GN8u-XKZxjttSjz8cx1_nTGkwqrqCQuYpyI9jYOgVlg, https://pr6.zoon.ru/hK54sepPgBwb6ki3ngb0Rg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Fkom_0ig9vdy-gN6NqYrAuPk6xkktwXmkTPRX-Qhv-8Es9tibbaljPcHS4Om6ut2VVQ141wEpjZqTUg4kB557fCOVj4B2igN4owzQz5hc8pw, https://pr6.zoon.ru/Se9XsKfcY9yJddyJuSPK_w/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EmjLrmHlAQKFK09gAc0KDFvEYAM0Q0GLlS3x8Wh5-qI8Xc6VGvxvNjhRJdWtHZFsFBxQCyrBgm43LmCT-myxsNr_xXvegaJn5AhMVBSp1dIQ, https://pr6.zoon.ru/6Z7FFGV0M2i6HRVTw8xyVA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GuGRh9CGmim2HoKGxyofeKt-RfmtfUW8z9jmp4WDD-RhQFpRdR2kMPhXDseGwt7I2dD1kXHcPDNfPPWICQ8t6APEdYFocXIPS-rGQCAjl_rA, https://p2.zoon.ru/preview/mrPbiHQiRQ6UP_B3AzcLBQ/252x168x85/1/0/4/5822907105a88382728b4572_5b65859c6883b.jpg"
spb,Правда кофе,5ffe78f909f67c5b7629ff97,4.5,2,1/4,"бар, кофейня","Невский проспект, 118, 1 этаж; магазин Буквоед, Санкт-Петербург",Площадь Восстания,Открыто до 21:00,+7 (800) 555-19-66,59.93198,30.361949,7,https://zoon.ru/spb/restaurants/kofejnya_pravda_kofe_na_metro_ploschad_vosstaniya/,"https://pr6.zoon.ru/53xQm-E_K_PGz7eAtUyMUg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_F74xP6JflKG8KsXc0TFlh8VhvHA2BVmps-Za3M77PYRb6rGTNfS1CWdiTfQgwnzn8CPHjUtooXJ3uUtdr5Wyt77HJ5p-kmA-IRMIWR2izi7A, https://pr5.zoon.ru/Vex-45rQdmq7Gb86MXSZ7Q/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HVn8qnqS4AiGpcaT6JdfIN9G3MPFxwjZBwzr5ixEfdoELz6fjxhnkNMxzGuOTQqH-poD7pB0vIsCV03cJPTdfBqejftvcUv5qn19-nvCGmEA, https://pr6.zoon.ru/lwSMf0ghHeoYuie_zy3L-Q/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EtC6zeUeihfjfq9X6NThg-ExkiqaoCNdAGiWBu5yFupVp9kPjC7Bt6FgaPHolKoVywSiZA1hVjWL_SaWeM5o962F_IiEkL02nEFKoQIEPFCA, https://pr6.zoon.ru/1dyZ6hPrl6bLtAdh9x80NA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Hy2vrP2lWGgX6a1pd4WGsSHMq7YUrVxTGQ_zONEAh4v9-ftDOy5RROZgQ3sYA0bYr91zPAziKuWi1cWutLmULPhL77kR9tPC2QEwZapZEyjw, https://pr6.zoon.ru/yGow3q5dukIKI-CjVV36OQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GH668O5-6eOPmmVOThKWu1cbi8I4r_Xnz9HCpyDNh0-dWHQIBpL7mepnlWZhbLLP2rhnLEmJrXPf2RHGor2NG3EXrwcREl2vbpyiZ4rEXv3w"
spb,Coffeeshop company,546600e340c088417c8b4f9d,2.5,4,,"бар, кафе, кофейня","Полюстровский проспект, 84а, 2 этаж, Санкт-Петербург",Лесная,Открыто до 22:00,+7 (911) 990-79-18,59.987593,30.35343,48,https://zoon.ru/spb/restaurants/kofejnya_coffeeshop_company_na_metro_lesnaya/,"https://pr6.zoon.ru/rLukoVrECGXmAQin-EHNgw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GSkBtEeSFAJ_3a0u9gzqnYxhpoQkd-fVzU_Akyq6ipFb5u7i5ZlrqgdbPONdEdQfZw3hdan3_vp9TSJ3EmMPAFPj48Rq8hnhaItFYfWfJvHg, https://pr6.zoon.ru/Ol9wDfEIC275Zu7QNomeOA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Hzse8KzP8npf185mJs2hN8M-Vn92cFMerIBMFcqHPPvLrPxOQ9elIZcj0rTRrwJHa7a7lwMAlKhttOs7VzaV5H1hCMh0d51icT4fjxJ0vaWA, https://pr5.zoon.ru/6hgXA3FF34EjNAHB-iNjTA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Hzse8KzP8npf185mJs2hN8rC9wYVuga0PQOz3PWqGodvfxhpW_tq3L9XM-zWqFuuvHKNabfiwvwx341vJezC28vWTOjFfqdzT6itDLFkRG-A, https://pr5.zoon.ru/AAVvRYFIA9tHRtJs6TxDIw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Gh8WakIfeX2dzVMWUY0b1uHvFk1rfcluQN3PkLyb9FbjVHO57DfveWTzt7wmPxxkhDyUWvwoI62LMtQWV8zUsvdmHCZ00xSEFatH5-Q9MJkg, https://pr5.zoon.ru/kPuXqK4ReEjDaebJ3Nx6Lw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HShaoU_teoMtGBvJQUvflvnsXtnzBVHyFXuSKa1hbHYrtEDE8eRGGfu-Cn8TXXSrPUwn9Jh8mChXkqDQTvTtIx_0lts_MC6ZuuBX8HudVwFw"
spb,Пироговый дворик,506c96553c72dd644d000918,2.8,6,1/4,"кафе-мороженое, кондитерская, кофейня, пекарня, фастфуд","Гражданский проспект, 116к5, цокольный этаж, Санкт-Петербург",Гражданский проспект,Открыто до 22:00,+7 (812) 600-42-02,60.034847999982,30.417384,50,https://zoon.ru/spb/restaurants/kafe-pekarnya_pirogovyj_dvorik_na_grazhdanskom_prospekte/,"https://pr5.zoon.ru/ZqElXC6EdEsuSdmP731QzA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_F9XH1uucemQwipy52ow-1rNC6O-7eggV_hgEZauFC0KrSpkXh7KvYghJgEFvdQbTLVavFW45AUh01ULAQn1FqEnPS8MhG9-biAyW5v3dq9QA, https://pr5.zoon.ru/yG9_QU8d-wdafxXs8KLyjg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_F9XH1uucemQwipy52ow-1rP8hitCtkFP0KxStleRvllSLk-bjoTgOHGb2XgoIENi9fDQ35IKt_JQyjntMikY82nZKEBtF31cKWGwi_w-2Brg, https://pr6.zoon.ru/MMtFibZu4Q8xvddM9wig9A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_F9XH1uucemQwipy52ow-1r7K5jJhkyhgaKrYcRdTl1M-14qwtA7CX3a76_9qabdhQyKH_dpGEd6WzCLMsfvyQF5031jjXPOSKX9Z-s9oSkMQ, https://pr5.zoon.ru/W10yWduk76NJ-_X-Jgf8jg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_F9XH1uucemQwipy52ow-1rQVgQTHlNJVMnXBD2KFY7-AuNLPtDxesduHPcKJSqNIbZEH6BYuB_npjrMMH_zc0I0-lRJKbyD9zdN0eAF_-nLQ, https://p1.zoon.ru/preview/t4CJgKeaA-HrUKF26KkEcw/252x168x85/1/8/d/506c96553c72dd644d000919_6182315b6e274.jpg"
spb,Coffeeshop company,508116c83c72ddde1a00002b,2.0,5,1/4,"бар, кофейня, суши-бар","Невский проспект, 114-116, 5 этаж, Санкт-Петербург",Площадь Восстания,Открыто до 23:00,+7 (911) 705-44-78,59.932279,30.358816,250,https://zoon.ru/spb/restaurants/kofejnya_coffeeshop_company_v_tts_galereya/,"https://pr5.zoon.ru/zp3tADOfWoyNcxdP0aPLDA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Gsuk4-7QQ1-jTDS68a6lOn5cI6WrrraCdRnRDe5RIlyU9snV84qkePBe2Io-xQJATixlhHyLbHIOGlwcRgHlqtetF5iG53qj-JzisAnSFmSw, https://pr6.zoon.ru/DuBm_h2-PoUTD-qzNw45BA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_G057F8mer7EgCATYKsKNQuk3mahkonOEja6hUz8dYvnyjk2BIaOPzcgFUQIkoYRnkMykeYtB1d_I8cxjEzLTe_Hjm3rNkGpyNDo4Ilhlnbzg, https://pr5.zoon.ru/ZOVmR6bKo3wt59l58XxH4Q/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_FNJZ1RvzxsV7peRmzU9GIRyDgmEtHvqFqb6Kj_wIVKnjYLDwvjtVRb0vcP_w1V4zNs6UEBY6EroI4FhJtTieWO1FRKwBgmhgSAUMV9wBZ11A, https://pr5.zoon.ru/dkczDb5eo5dm3irz2xEAHg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_E5xB0qVcnLpth6mrexNB4pop3Ax1wSHEJ7qjiO9dt6JHJHV0ZXZP9xIcI_3fXGTFkfFanFvRyJoQULtDScGmupuvI8I5FN1z99cvDFd58LvA, https://pr5.zoon.ru/oAunUHwmvbY-f7oFihteZw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_FEXqFEW0EI3UQicGGTa4IypyI9jq6qHm2fXrdIrbEwPUhrzFTwqHjRW2UU7eWCJBTguzfKgtGZ_YhHhX_iKN8YdvAmUHoVJcH6RFh0a9pcbQ"
spb,Крендель,5ffe7836d12f142524303ba9,3.3,100,1/4,кофейня,"Северный вал улица, 3, Выборг",,Открыто до 19:00,+7 (911) 189-66-70,60.71449,28.730429,51,https://zoon.ru/spb/restaurants/kafe_krendel/,"https://pr5.zoon.ru/3B05RELYutlVIy_MO4c1sg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GkptySBliqa5lWGzP-1sJRo1i_Zq5vEqZuAXuPDSNuO6KwEiBAKgruLel9jbpFwgPBrpZk8nloYcVvnBi03FMzrKMfgOjQ2a7Vyr9KvmFLtw, https://pr5.zoon.ru/mz-5_2-qJAFMWSOZ4pFtUA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Ec0Nj6xpaOkSoRUCoUCdYW_tlAmQ_okFdFjRYHA8UzC3Fpav6LsH6TjXk_UQwcyp9iXr711X5MuaVOdSxuPCuLieCiTfVH8GjxtgbY95u0Xw, https://pr6.zoon.ru/TeG5I4MlJWVk3kifxvVOFQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Ec0Nj6xpaOkSoRUCoUCdYWNuuSyQrbanFYYSc-IHT02KL-mSNgdZ4rkH8smPi6LJDuPeC-MpicpLjbwei7O__xigfO5fNR-FWs-R6xLK58kQ, https://pr6.zoon.ru/_OifcfkBEgdS2RSEIEjKOA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_FDgSj2HWOiccQGqW0WAoBEqA7mWjAFMruMy9Kcbvws3PomMUeF_Hv1oAkveBjnqMIclmQP4puxDZR1U_Wag6S2DiOMktWn0BC0j2lqnqUAjg, https://pr6.zoon.ru/D_Tybne9NKcsu3Jo5gs0JA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HfLWl-xP4BYQBXShBL0tRhrZF1345h2C_rPLa6HCYt5WPLz1rWKAJ1uZ2Oqto0o4dwPuX2l53kj7A79-VHJrIWhucYfxpq_0u84umOxqk8nA"
spb,Waff&Love,59a6324e2e8a9a4d1d09b3a1,2.6,1,,кофейня,"улица Рубинштейна, 26, Санкт-Петербург",Достоевская,Открыто до 23:00,+7 (950) 026-26-35,59.928916,30.345342,45,https://zoon.ru/spb/restaurants/kofejnya-vafelnaya_wafflove_na_ulitse_rubinshtejna/,"https://pr6.zoon.ru/knMzbdyehCcHQvQ61vX03A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_G5wEDxULQwB-SvSCLpaKB14-lgAZnDUnrCiqfsY1Nh8K9ginr1qX32ECizVwOJ2iYv7s-ME5czQxmBG7Xr8WqVyBXjsQr8mNLt-pBQfQkrAg, https://pr6.zoon.ru/rfTBlqdNpPDzmOYufa2Baw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Eqn-U3M8MuxO9x9L25z_qHz4lxegd6uxl5hJimaDoqFgC1f4pBjudV2AZ8-dOXvhVTg5EzNam7vhblGIDPmFSF3rAyKqebnbP0BBic1Mt21A, https://pr6.zoon.ru/sR74FfZIASLIqYQGXcHXiA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_FjyS8VYc7qBvFvB-L72BFI2KuYfH_4ncoAujRIr_8zM-e83u0NQ_thWkeZiJ3mie2TnbAP_ZDcJFs_QsjUSgluGXoyDUhrn83BQhSNTUxBiQ, https://pr5.zoon.ru/rkRZe3p8c8tl4Ec5UzDGVw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HYe_gN7BQEahv5-yVs6SnwzATThI6swjMzjRBv3abeHzcvLj8HTip3cKJOgxl0Pq5wH9Nb_7E33iSSC_xMR3nvGllooRygCTM23N8ZBpeyrQ, https://pr6.zoon.ru/nSONpqLMKyRFoF7uJrkPkg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HpMDlJkZ599aErPFjTlvfRzWEo_1G3zHsQZ6CcfVrlj4upL1vw_-8ZWe7C3wsH2JmeeabgKSqWSpejfkK5gRtHK8ttvIvqWzbMVle1xnlnVg"
spb,Есть хлеб,5ffe7bc50e755f28d83e4141,2.9,1,1/4,"кондитерская, кофейня, пекарня","Комендантский проспект, 58 к1 ст1, 1 этаж, Санкт-Петербург",Комендантский проспект,Открыто до 22:00,+7 (993) 210-02-17,60.033734,30.227695,5,https://zoon.ru/spb/restaurants/pekarnya_est_hleb/,"https://pr5.zoon.ru/SZmQOW4P7b5TDS3NimlJ0w/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H_7JUOK6CWPxqkztZ2jmyK6uoWMqMKxTNhfKpJ3mOtPbY1j6rrHigmG5C3iptonyrmx3CPNHy_CYbskfkSt9mJlo8U67Y5xgJS6IzPegpZ1w, https://pr5.zoon.ru/6s3ismetv0kn5oKD0g7QRg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H_7JUOK6CWPxqkztZ2jmyKktAytLITaj4wNiowI8_L1bhUYZy5Za_I6ryeExvLxhhEJn7YH4F_DkgeUz9QOxEtoUEmxp7LWtFVusUyY9Xvrg, https://pr6.zoon.ru/VSGXaJpBQ8c5PJsAflzhhw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H_7JUOK6CWPxqkztZ2jmyK4XvHlCAjEESfTRuYZl12gpi6ZNixwbAnQqwjCxAnyFFAZQ240rDYJtJCF2PLcYVLITEEi0XyvGtjx3t3WOSSrA, https://pr6.zoon.ru/Rf7E7gVwmRJ10LZySooQaA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H_7JUOK6CWPxqkztZ2jmyKYY8ZZO_yUrqccrHMHiTLp4n51B17F52aN5nInZDVW31VBNd7dr0EwRaYrDx3p8F8kH3RqtLi_K-2g8L7V35GQA, https://pr6.zoon.ru/93DtQADewpDjuINsblgWfQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Grfw1nIkjdjeJKT1oaExGK9ooBK4EPeDFZqhSSH9huE2YVphd6m34ISuMZbBrM78lZGakxzJuBPip46lH7R_ur5PHNjAqjghUUoXS55eKipg"
