name,lat,lon,pass_per_month
Авиамоторная,55.7525349,37.7200631,2321348
Автозаводская,55.7073446,37.6577684,411684
Академическая,55.6878077,37.5735148,2446938
Александровский сад,55.7524027,37.6086825,1471040
Алексеевская,55.8087525,37.6389375,2318588
Алма-Атинская,55.6327995,37.765935,5567453
Алтуфьево,55.8979224,37.5873584,2739240
Аминьевская,55.6971748,37.4649703,2259323
Аннино,55.5825315,37.5965311,1687236
Арбатская,55.752095,37.6069779,430992
Аэропорт,55.8003966,37.5331501,2542520
Аэропорт Внуково,55.607309,37.2872762,619976
Бабушкинская,55.8696342,37.6641097,3607614
Багратионовская,55.7437316,37.497737,1170452
Баррикадная,55.7611309,37.5793093,1657624
Бауманская,55.7730392,37.6805494,3972498
Беговая,55.7737161,37.5466565,2414049
Беломорская,55.8649644,37.4748773,1978343
Белорусская,55.776702,37.583575,3191022
Беляево,55.6427774,37.5256804,2485221
Бибирево,55.8838707,37.6035539,2143543
Библиотека имени Ленина,55.7512323,37.6101708,0
Битцевский парк,55.6002393,37.5563789,139962
Борисово,55.6333039,37.7437524,852160
Боровицкая,55.7509718,37.607057,539871
Боровское шоссе,55.6477505,37.3704228,423434
Ботанический сад,55.8448445,37.6382462,1704438
Братиславская,55.659739,37.7506688,2770412
Бульвар Дмитрия Донского,55.5692452,37.5768693,4079548
Бульвар Рокоссовского,55.8146824,37.73434,692778
Бунинская аллея,55.5381467,37.5165467,1445812
Бутырская,55.8133726,37.6025285,1197806
ВДНХ,55.8209553,37.6412006,4933004
Варшавская,55.6533344,37.6195024,2482481
Верхние Лихоборы,55.8561131,37.5613445,1075120
Владыкино,55.8471808,37.5899119,686273
Водный стадион,55.8400589,37.4867105,2994416
Войковская,55.819052,37.4980181,3530063
Волгоградский проспект,55.7252386,37.6868906,1483228
Волжская,55.6908257,37.7531007,1139169
Волоколамская,55.8355134,37.3822424,1481270
Воробьёвы горы,55.7103322,37.559289,801340
Воронцовская,55.6588351,37.5394795,1284912
Выхино,55.7156444,37.8179229,4738256
