,name,pass per mounth,lat,lon
0,Петроградская,1732469.0,59.9649148,30.3128296
1,Горьковская,1154178.0,59.9551564,30.3194568
2,Спортивная,480108.0,59.9501285,30.2890649
3,Чкаловская,756132.0,59.9593342,30.2924203
4,Удельная,791588.0,60.0179314,30.3181589
5,Крестовский остров,556029.0,59.9705962,30.262192
6,Старая Деревня,1154874.0,59.987678,30.2556348
7,Садовая,512034.0,59.9276034,30.3193825
8,Сенная площадь,1207222.0,59.9259772,30.3200465
9,Достоевская,515339.0,59.9268264,30.3458263
10,Лиговский проспект,533455.0,59.9215938,30.359275
11,Площадь Александра Невского 1,707322.0,59.9233521,30.3868253
12,Новочеркасская,884549.0,59.9295952,30.4152087
13,Ладожская,2381344.0,59.9315249,30.4424153
14,Чёрная речка,1175560.0,59.9872271,30.3008958
15,Пионерская,1833570.0,60.0043005,30.2963474
16,Озерки,1142485.0,60.0353185,30.3210297
17,Площадь Восстания,11294423.0,59.9299928,30.3590236
18,Улица Дыбенко,1576355.0,59.9090112,30.4817525
19,Проспект Большевиков,1447357.0,59.92103,30.4640141
20,Рыбацкое,814752.0,59.8308399,30.5002908
21,Обухово,271934.0,59.8498292,30.4598459
22,Ломоносовская,914138.0,59.8788174,30.4401471
23,Пролетарская,529366.0,59.8662645,30.467311
24,Гостиный двор,1063021.0,59.9342459,30.330204
25,Приморская,1333018.0,59.9487362,30.2379397
26,Московские ворота,689415.0,59.8926493,30.318071
27,Электросила,731341.0,59.8802598,30.3190724
28,Автово,1221082.0,59.8664791,30.2610038
29,Невский проспект,1835390.0,59.9339756,30.3284024
30,Купчино,2204600.0,59.8296814,30.3754914
31,Балтийская,1142292.0,59.9076813,30.3026769
32,Нарвская,1219501.0,59.8997076,30.2740578
33,Кировский завод,875225.0,59.8782316,30.2605729
34,Звёздная,955965.0,59.8328763,30.3514616
35,Ленинский проспект,11077935.0,59.850646,30.2683895
36,Проспект Ветеранов,11539519.0,59.8419484,30.2520174
37,Волковская,171646.0,59.8965111,30.3604481
38,Обводный канал,531204.0,59.9131687,30.3508884
39,Московская,1847827.0,59.8514032,30.3223819
40,Международная,981536.0,59.868623,30.3818778
41,Бухарестская,331932.0,59.8823279,30.3703188
42,Спасская,678099.0,59.9262622,30.3176937
43,Адмиралтейская,992369.0,59.9361378,30.3138916
44,Технологический институт 1,515653.0,59.9151867,30.317345
45,Технологический институт 2,905599.0,59.9153356,30.3183867
46,Площадь Ленина,11192637.0,59.9572163,30.3553493
47,Выборгская,928701.0,59.9693707,30.34951
48,Площадь Мужества,802091.0,60.001492,30.3673518
49,Политехническая,793694.0,60.0098587,30.3742911
50,Академическая,1289715.0,60.0121125,30.3927366
51,Гражданский проспект,1362634.0,60.0332461,30.4168173
52,Звенигородская,475566.0,59.9219058,30.3327653
53,Пушкинская,555807.0,59.9212978,30.332857
54,Парнас,889430.0,60.0669038,30.3340445
55,Василеостровская,1584495.0,59.9431765,30.2753586
56,Чернышевская,1379266.0,59.9431101,30.3607773
57,Проспект Славы,792267.0,59.8567195,30.3953316
58,Дунайская,642600.0,59.8399935,30.4108979
59,Шушары,241180.0,59.8200697,30.4328244
60,Площадь Александра Невского 2,336402.0,59.9222225,30.3848602
61,Маяковская,776658.0,59.9305436,30.3576214
62,Владимирская,806363.0,59.9259851,30.347344
63,Лесная,773211.0,59.9865474,30.3456603
64,Зенит,301676.0,59.9719562,30.2119155
65,Елизаровская,677859.0,59.8980617,30.4217006
66,Беговая,881622.0,59.9872661,30.2021936
67,Проспект Просвещения,1828245.0,60.0494229,30.3329039
68,Комендантский проспект,1436159.0,60.0103196,30.2564847
69,Горный институт,,59.9311523,30.263811
